date,usd_to_yen_opening_price,FM08'FXERD02,FM08'FXERD03,usd_to_yen_closing_price,FM08'FXERD05,FM08'FXERD06,FM08'FXERD07,eur_to_usd_opening_price,FM08'FXERD32,FM08'FXERD33,eur_to_usd_closing_price,FM08'FXERD35,FM08'FXERD36,FM08'FXERD39,FM08'FXERD37,FM08'FXERD38,FM08'FXERD11,FM08'FXERD12,FM08'FXERD13,FM08'FXERD14,FM08'FXERD21,FM08'FXERD22
系列名称,東京市場　ドル・円　スポット　9時時点,東京市場　ドル・円　スポット　最高値,東京市場　ドル・円　スポット　最安値,東京市場　ドル・円　スポット　17時時点,東京市場　ドル・円　スポット　中心相場,東京市場　ドル・円　スポット出来高,東京市場　ドル・円　スワップ出来高,東京市場　ユーロ・ドル　スポット　9時時点,東京市場　ユーロ・ドル　スポット　最高値,東京市場　ユーロ・ドル　スポット　最安値,東京市場　ユーロ・ドル　スポット　17時時点,東京市場　ユーロ・ドル　スポット出来高,東京市場　ユーロ・ドル　スワップ出来高,円インデックス,（更新停止）東京市場　ドル・円　オプション出来高（2012年1月31日まで）,（更新停止）東京市場　ユーロ・ドル　オプション出来高（2012年1月31日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド1ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド3ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド1ヵ月　年率（2010年2月26日まで）,（更新停止）東京市場　ドル・円　フォワード・スプレッド3ヵ月　年率（2010年2月26日まで）,（更新停止）東京市場　ドル・円　通貨オプション　ボラティリティ1ヵ月（2010年2月26日まで）,（更新停止）東京市場　ドル・円　通貨オプション　ボラティリティ3ヵ月（2010年2月26日まで）
20220614,134.22,134.82,133.89,134.43,134.12,5158,44497,1.0415,1.0475,1.0398,1.0468,1154,6320,85.77,,,,,,,,
20220615,135.27,135.53,134.53,134.71,134.99,5930,47606,1.0438,1.0493,1.0419,1.0466,1355,4195,86.45,,,,,,,,
20220616,134.06,134.68,133.95,134.23,134.26,5134,41467,1.0458,1.0467,1.0384,1.0397,858,7147,87.41,,,,,,,,
20220617,132.41,134.63,132.19,134.29,133.2,7002,26847,1.0547,1.055,1.0499,1.0518,985,4999,85.8,,,,,,,,
20220618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220620,135.29,135.44,134.55,134.67,135.25,2975,22877,1.0491,1.054,1.0485,1.0518,394,4704,85.62,,,,,,,,
20220621,135.1,135.28,134.92,135.23,135.19,4374,51687,1.0517,1.0565,1.0515,1.0557,704,7658,84.59,,,,,,,,
20220622,136.33,136.71,136.05,136.24,136.47,5501,49853,1.0532,1.0535,1.047,1.0505,1023,5646,84.87,,,,,,,,
20220623,135.99,136.2,135.16,135.38,135.2,5909,44874,1.0565,1.058,1.05,1.0508,1232,8190,85.79,,,,,,,,
20220624,134.82,135.22,134.36,134.54,135.19,5280,40293,1.052,1.0545,1.0513,1.0525,898,5749,85.43,,,,,,,,
20220625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220627,135.05,135.22,134.54,135.08,134.6,4579,38401,1.0567,1.0591,1.055,1.0588,870,8388,85.22,,,,,,,,
20220628,135.44,135.82,135.12,135.76,135.45,4239,50052,1.058,1.0605,1.0571,1.0585,1011,11768,84.99,,,,,,,,
20220629,136.06,136.28,135.8,136.03,136.11,4502,42171,1.0521,1.0535,1.0487,1.0516,1580,4581,84.82,,,,,,,,
20220630,136.61,136.8,135.98,136.2,136.63,7788,73985,1.0447,1.0466,1.043,1.0446,1377,11045,85.32,,,,,,,,
20220701,135.8,135.99,134.75,135.31,135.98,6165,29418,1.0478,1.048,1.0435,1.0446,854,8065,85.91,,,,,,,,
20220702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220704,135.02,135.51,134.8,135.45,134.94,2327,30270,1.0433,1.0444,1.0423,1.0431,575,3649,85.63,,,,,,,,
20220705,135.86,136.36,135.69,136.09,136.13,5018,40243,1.0433,1.0448,1.0367,1.0375,1145,7232,86.06,,,,,,,,
20220706,135.55,135.88,135.03,135.43,135.68,5242,49257,1.0257,1.0277,1.0239,1.0259,1568,7969,86.1,,,,,,,,
20220707,135.95,136.17,135.55,136.13,135.7,4358,52622,1.0185,1.022,1.0177,1.0192,1523,4682,85.97,,,,,,,,
20220708,135.92,136.15,135.35,135.84,136.02,6998,61933,1.017,1.0191,1.0075,1.0109,1508,8384,85.82,,,,,,,,
20220709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
20220711,136.31,137.28,136.15,136.81,136.45,5051,38400,1.0168,1.0181,1.0108,1.0112,828,5447,85.47,,,,,,,,
20220712,137.42,137.51,137.03,137.35,137.15,5015,58289,1.0045,1.0055,1.0003,1.0009,2861,5187,85.86,,,,,,,,
20220713,136.75,137.25,136.7,137.05,137.12,5606,69637,1.003,1.0049,1.0008,1.0033,1940,7663,85.41,,,,,,,,
20220714,,,,,,,,,,,,,,,,,,,,,,
20220715,,,,,,,,,,,,,,,,,,,,,,
20220716,,,,,,,,,,,,,,,,,,,,,,
20220717,,,,,,,,,,,,,,,,,,,,,,
20220718,,,,,,,,,,,,,,,,,,,,,,
20220719,,,,,,,,,,,,,,,,,,,,,,
20220720,,,,,,,,,,,,,,,,,,,,,,
20220721,,,,,,,,,,,,,,,,,,,,,,
20220722,,,,,,,,,,,,,,,,,,,,,,
20220723,,,,,,,,,,,,,,,,,,,,,,
20220724,,,,,,,,,,,,,,,,,,,,,,
20220725,,,,,,,,,,,,,,,,,,,,,,
20220726,,,,,,,,,,,,,,,,,,,,,,
20220727,,,,,,,,,,,,,,,,,,,,,,
20220728,,,,,,,,,,,,,,,,,,,,,,
20220729,,,,,,,,,,,,,,,,,,,,,,
20220730,,,,,,,,,,,,,,,,,,,,,,
20220731,,,,,,,,,,,,,,,,,,,,,,
20220801,,,,,,,,,,,,,,,,,,,,,,
20220802,,,,,,,,,,,,,,,,,,,,,,
20220803,,,,,,,,,,,,,,,,,,,,,,
20220804,,,,,,,,,,,,,,,,,,,,,,
20220805,,,,,,,,,,,,,,,,,,,,,,
20220806,,,,,,,,,,,,,,,,,,,,,,
20220807,,,,,,,,,,,,,,,,,,,,,,
20220808,,,,,,,,,,,,,,,,,,,,,,
20220809,,,,,,,,,,,,,,,,,,,,,,
20220810,,,,,,,,,,,,,,,,,,,,,,
20220811,,,,,,,,,,,,,,,,,,,,,,
20220812,,,,,,,,,,,,,,,,,,,,,,
20220813,,,,,,,,,,,,,,,,,,,,,,
20220814,,,,,,,,,,,,,,,,,,,,,,
20220815,,,,,,,,,,,,,,,,,,,,,,
20220816,,,,,,,,,,,,,,,,,,,,,,
20220817,,,,,,,,,,,,,,,,,,,,,,
20220818,,,,,,,,,,,,,,,,,,,,,,
20220819,,,,,,,,,,,,,,,,,,,,,,
20220820,,,,,,,,,,,,,,,,,,,,,,
20220821,,,,,,,,,,,,,,,,,,,,,,
20220822,,,,,,,,,,,,,,,,,,,,,,
20220823,,,,,,,,,,,,,,,,,,,,,,
20220824,,,,,,,,,,,,,,,,,,,,,,
20220825,,,,,,,,,,,,,,,,,,,,,,
20220826,,,,,,,,,,,,,,,,,,,,,,
20220827,,,,,,,,,,,,,,,,,,,,,,
20220828,,,,,,,,,,,,,,,,,,,,,,
20220829,,,,,,,,,,,,,,,,,,,,,,
20220830,,,,,,,,,,,,,,,,,,,,,,
20220831,,,,,,,,,,,,,,,,,,,,,,
20220901,,,,,,,,,,,,,,,,,,,,,,
20220902,,,,,,,,,,,,,,,,,,,,,,
20220903,,,,,,,,,,,,,,,,,,,,,,
20220904,,,,,,,,,,,,,,,,,,,,,,
20220905,,,,,,,,,,,,,,,,,,,,,,
20220906,,,,,,,,,,,,,,,,,,,,,,
20220907,,,,,,,,,,,,,,,,,,,,,,
20220908,,,,,,,,,,,,,,,,,,,,,,
20220909,,,,,,,,,,,,,,,,,,,,,,
20220910,,,,,,,,,,,,,,,,,,,,,,
20220911,,,,,,,,,,,,,,,,,,,,,,
20220912,,,,,,,,,,,,,,,,,,,,,,
20220913,,,,,,,,,,,,,,,,,,,,,,
20220914,,,,,,,,,,,,,,,,,,,,,,
20220915,,,,,,,,,,,,,,,,,,,,,,
20220916,,,,,,,,,,,,,,,,,,,,,,
20220917,,,,,,,,,,,,,,,,,,,,,,
20220918,,,,,,,,,,,,,,,,,,,,,,
20220919,,,,,,,,,,,,,,,,,,,,,,
20220920,,,,,,,,,,,,,,,,,,,,,,
20220921,,,,,,,,,,,,,,,,,,,,,,
20220922,,,,,,,,,,,,,,,,,,,,,,
20220923,,,,,,,,,,,,,,,,,,,,,,
20220924,,,,,,,,,,,,,,,,,,,,,,
20220925,,,,,,,,,,,,,,,,,,,,,,
20220926,,,,,,,,,,,,,,,,,,,,,,
20220927,,,,,,,,,,,,,,,,,,,,,,
20220928,,,,,,,,,,,,,,,,,,,,,,
20220929,,,,,,,,,,,,,,,,,,,,,,
20220930,,,,,,,,,,,,,,,,,,,,,,
20221001,,,,,,,,,,,,,,,,,,,,,,
20221002,,,,,,,,,,,,,,,,,,,,,,
20221003,,,,,,,,,,,,,,,,,,,,,,
20221004,,,,,,,,,,,,,,,,,,,,,,
20221005,,,,,,,,,,,,,,,,,,,,,,
20221006,,,,,,,,,,,,,,,,,,,,,,
20221007,,,,,,,,,,,,,,,,,,,,,,
20221008,,,,,,,,,,,,,,,,,,,,,,
20221009,,,,,,,,,,,,,,,,,,,,,,
20221010,,,,,,,,,,,,,,,,,,,,,,
20221011,,,,,,,,,,,,,,,,,,,,,,
20221012,,,,,,,,,,,,,,,,,,,,,,
20221013,,,,,,,,,,,,,,,,,,,,,,
20221014,,,,,,,,,,,,,,,,,,,,,,
20221015,,,,,,,,,,,,,,,,,,,,,,
20221016,,,,,,,,,,,,,,,,,,,,,,
20221017,,,,,,,,,,,,,,,,,,,,,,
20221018,,,,,,,,,,,,,,,,,,,,,,
20221019,,,,,,,,,,,,,,,,,,,,,,
20221020,,,,,,,,,,,,,,,,,,,,,,
20221021,,,,,,,,,,,,,,,,,,,,,,
20221022,,,,,,,,,,,,,,,,,,,,,,
20221023,,,,,,,,,,,,,,,,,,,,,,
20221024,,,,,,,,,,,,,,,,,,,,,,
20221025,,,,,,,,,,,,,,,,,,,,,,
20221026,,,,,,,,,,,,,,,,,,,,,,
20221027,,,,,,,,,,,,,,,,,,,,,,
20221028,,,,,,,,,,,,,,,,,,,,,,
20221029,,,,,,,,,,,,,,,,,,,,,,
20221030,,,,,,,,,,,,,,,,,,,,,,
20221031,,,,,,,,,,,,,,,,,,,,,,
20221101,,,,,,,,,,,,,,,,,,,,,,
20221102,,,,,,,,,,,,,,,,,,,,,,
20221103,,,,,,,,,,,,,,,,,,,,,,
20221104,,,,,,,,,,,,,,,,,,,,,,
20221105,,,,,,,,,,,,,,,,,,,,,,
20221106,,,,,,,,,,,,,,,,,,,,,,
20221107,,,,,,,,,,,,,,,,,,,,,,
20221108,,,,,,,,,,,,,,,,,,,,,,
20221109,,,,,,,,,,,,,,,,,,,,,,
20221110,,,,,,,,,,,,,,,,,,,,,,
20221111,,,,,,,,,,,,,,,,,,,,,,
20221112,,,,,,,,,,,,,,,,,,,,,,
20221113,,,,,,,,,,,,,,,,,,,,,,
20221114,,,,,,,,,,,,,,,,,,,,,,
20221115,,,,,,,,,,,,,,,,,,,,,,
20221116,,,,,,,,,,,,,,,,,,,,,,
20221117,,,,,,,,,,,,,,,,,,,,,,
20221118,,,,,,,,,,,,,,,,,,,,,,
20221119,,,,,,,,,,,,,,,,,,,,,,
20221120,,,,,,,,,,,,,,,,,,,,,,
20221121,,,,,,,,,,,,,,,,,,,,,,
20221122,,,,,,,,,,,,,,,,,,,,,,
20221123,,,,,,,,,,,,,,,,,,,,,,
20221124,,,,,,,,,,,,,,,,,,,,,,
20221125,,,,,,,,,,,,,,,,,,,,,,
20221126,,,,,,,,,,,,,,,,,,,,,,
20221127,,,,,,,,,,,,,,,,,,,,,,
20221128,,,,,,,,,,,,,,,,,,,,,,
20221129,,,,,,,,,,,,,,,,,,,,,,
20221130,,,,,,,,,,,,,,,,,,,,,,
20221201,,,,,,,,,,,,,,,,,,,,,,
20221202,,,,,,,,,,,,,,,,,,,,,,
20221203,,,,,,,,,,,,,,,,,,,,,,
20221204,,,,,,,,,,,,,,,,,,,,,,
20221205,,,,,,,,,,,,,,,,,,,,,,
20221206,,,,,,,,,,,,,,,,,,,,,,
20221207,,,,,,,,,,,,,,,,,,,,,,
20221208,,,,,,,,,,,,,,,,,,,,,,
20221209,,,,,,,,,,,,,,,,,,,,,,
20221210,,,,,,,,,,,,,,,,,,,,,,
20221211,,,,,,,,,,,,,,,,,,,,,,
20221212,,,,,,,,,,,,,,,,,,,,,,
20221213,,,,,,,,,,,,,,,,,,,,,,
20221214,,,,,,,,,,,,,,,,,,,,,,
20221215,,,,,,,,,,,,,,,,,,,,,,
20221216,,,,,,,,,,,,,,,,,,,,,,
20221217,,,,,,,,,,,,,,,,,,,,,,
20221218,,,,,,,,,,,,,,,,,,,,,,
20221219,,,,,,,,,,,,,,,,,,,,,,
20221220,,,,,,,,,,,,,,,,,,,,,,
20221221,,,,,,,,,,,,,,,,,,,,,,
20221222,,,,,,,,,,,,,,,,,,,,,,
20221223,,,,,,,,,,,,,,,,,,,,,,
20221224,,,,,,,,,,,,,,,,,,,,,,
20221225,,,,,,,,,,,,,,,,,,,,,,
20221226,,,,,,,,,,,,,,,,,,,,,,
20221227,,,,,,,,,,,,,,,,,,,,,,
20221228,,,,,,,,,,,,,,,,,,,,,,
20221229,,,,,,,,,,,,,,,,,,,,,,
20221230,,,,,,,,,,,,,,,,,,,,,,
20221231,,,,,,,,,,,,,,,,,,,,,,
